Laika zīmogs;Kāds ir jūsu vecums?;Kāds ir jūsu dzimums?;Vai tu klausies mūziku, kad mācies vai strādā?;Kā tu vērtē savu produktivitāti mācību/darba laikā (bez mūzikas)?;Kāda veida mūziku tu parasti  klausies mācību/darbu laikā?;Cik skaļi tu klausies mūziku mācību/ darba laikā?;Kā mūzikas klausīšanās ietekmē tavu koncentrēšanos?;"Vai ir kāds mūzikas žanrs, kas tev traucē mācībās/darbā?
";"Ja uz iepriekšējo jautājumu atbildēji jā, tad kāds/kādi?
";Vai mūzikas klausīšanās tev palīdz justies mierīgākam?
02.07.2025 13:58;45-54;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Ļoti klusi;Neietekmē;jā;Roks;Jā, vienmēr
2.13.2025 18:26:02;14-24;Sieviete;Jā ,vienmēr;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.13.2025 18:26:11;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;jā;Rokenrols/ smagais metāls;Jā, vienmēr
2.13.2025 18:30:56;14-24;Vīrietis;jā,dažreiz;Atkarībā ko es daru. ;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;jā;Metāls;Jā, vienmēr
2.13.2025 18:33:57;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Neklausos;Tā traucē koncentrēšanos;jā;Man traucē jebkura mūzika ;Dažreiz
2.13.2025 18:38:40;25-34;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Ļoti klusi;Neietekmē;nē;;Dažreiz
2.13.2025 18:57:02;14-24;Vīrietis;Jā ,vienmēr;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Dažreiz
2.13.2025 19:03:24;14-24;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;nē;;Dažreiz
2.13.2025 19:04:24;14-24;Vīrietis;Jā ,vienmēr;Produktivitāte ir vidēja;Visu;Vidēji skaļi;Neietekmē;nē;;Dažreiz
2.13.2025 19:05:33;14-24;Vīrietis;nē,nekad;Es vienmēr esmu produktīvs;Popmūzika;Neklausos;Tā palīdz koncentrēties;jā;Roks;Dažreiz
2.13.2025 19:10:29;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Latviešu estrādes mūzika;Vidēji skaļi;Dažreiz;nē;;Jā, vienmēr
2.13.2025 19:19:57;35-44;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Visu;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.13.2025 19:40:19;14-24;Sieviete;Jā ,vienmēr;Man bieži trūkst koncentrēšanās spēju;kautkas mierīgs;Vidēji skaļi;Tā palīdz koncentrēties;jā;Nav īpaši žanra,  bet jebkura dziesma, kur vārdi, vārdi trauce koncentrācijai;Jā, vienmēr
2.13.2025 19:43:34;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;jā;Roks;Dažreiz
2.13.2025 19:43:49;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Dažādi;Vidēji skaļi;Neietekmē;jā;Pop mūzika, jo pie tas gribās dejot;Jā, vienmēr
2.13.2025 19:47:54;14-24;Sieviete;Jā ,vienmēr;Produktivitāte ir vidēja;Klasisko mūziku;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.13.2025 21:21:26;14-24;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Hip hop;Vidēji skaļi;Tā palīdz koncentrēties;jā;Rock;Jā, vienmēr
2.16.2025 17:43:44;14-24;Vīrietis;Ļoti reti;Man bieži trūkst koncentrēšanās spēju;Roks vai metāls;Vidēji skaļi;Tā traucē koncentrēšanos;jā;Visas;Dažreiz
2.16.2025 17:44:02;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Ļoti klusi;Neietekmē;jā;Roks vai depresiva muzika ;Jā, vienmēr
2.16.2025 18:28:43;45-54;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;jā;Metāls;Dažreiz
2.16.2025 18:31:46;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;nē;.;Jā, vienmēr
2.16.2025 18:31:54;14-24;Sieviete;Jā ,vienmēr;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;jā;Roks;Jā, vienmēr
2.16.2025 18:32:01;14-24;Sieviete;Jā ,vienmēr;Produktivitāte ir vidēja;Roks vai metāls;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.16.2025 18:33:12;14-24;Sieviete;Jā ,vienmēr;Produktivitāte ir vidēja;Roks vai metāls;Skaļi;Tā palīdz koncentrēties;jā;slikta pop vai rap mūzika ;Jā, vienmēr
2.16.2025 18:34:09;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Russian Hip-Hop;Vidēji skaļi;Neietekmē;jā;Klasiska mūzika;Jā, vienmēr
2.16.2025 18:37:23;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;jā;Mongoļu Roks;Dažreiz
2.16.2025 18:38:09;14-24;Sieviete;Jā ,vienmēr;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Neietekmē;jā;Nezinu;Dažreiz
2.16.2025 18:38:17;14-24;Sieviete;Jā ,vienmēr;Man bieži trūkst koncentrēšanās spēju;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.16.2025 18:44:37;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Visu ;Ļoti klusi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.16.2025 18:51:15;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Klasisko mūziku;Vidēji skaļi;Tā palīdz koncentrēties;jā;Popmūzika, roks vai metāls;Dažreiz
2.16.2025 18:51:50;14-24;Vīrietis;Reti;Es vienmēr esmu produktīvs;Klasisko mūziku;Ļoti klusi;Neietekmē;jā;Roks;Dažreiz
2.16.2025 18:51:57;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Roks vai metāls;Vidēji skaļi;Tā traucē koncentrēšanos;nē;;Jā, vienmēr
2.16.2025 18:52:00;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Phonk;Vidēji skaļi;Tā palīdz koncentrēties;jā;Pop;nē, nekad
2.16.2025 18:52:35;14-24;Vīrietis;nē,nekad;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā traucē koncentrēšanos;nē;;Dažreiz
2.16.2025 18:53:02;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Dažādi;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Dažreiz
2.16.2025 18:55:09;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Dažādi;Skaļi;Tā palīdz koncentrēties;nē;Nav;Jā, vienmēr
2.16.2025 18:55:29;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;jā;Roks;Jā, vienmēr
2.16.2025 18:55:43;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Tā traucē koncentrēšanos;jā;;Dažreiz
2.16.2025 18:57:06;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā traucē koncentrēšanos;nē;.;Jā, vienmēr
2.16.2025 18:57:30;14-24;Vīrietis;jā,dažreiz;Esmu produktīvs bez vai ar to;White girl music;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.16.2025 19:00:08;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Roks vai metāls;Vidēji skaļi;Neietekmē;nē;;Jā, vienmēr
2.16.2025 19:03:19;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;White girl music;Skaļi;Tā traucē koncentrēšanos;nē;;Dažreiz
2.16.2025 19:41:16;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;White girl music;Vidēji skaļi;Tā palīdz koncentrēties;nē;Ne;Jā, vienmēr
2.16.2025 19:54:31;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Popmūzika;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Dažreiz
2.16.2025 20:01:48;14-24;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Dažādi;Skaļi;Neietekmē;jā;Metāls ;Jā, vienmēr
2.16.2025 20:30:26;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Relaksējošu;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Dažreiz
2.16.2025 21:07:22;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;White girl music;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.16.2025 21:12:30;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Neietekmē;nē;;Dažreiz
2.16.2025 21:26:32;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Popmūzika;Skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.17.2025 5:59:26;25-34;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā traucē koncentrēšanos;jā;Metāls ;Dažreiz
2.17.2025 8:22:16;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Ļoti klusi;Tā palīdz koncentrēties;nē;;Dažreiz
2.17.2025 8:23:42;14-24;Sieviete;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;nē;;Dažreiz
2.17.2025 8:27:52;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Popmūzika;Vidēji skaļi;Neietekmē;jā;Roks vai metāla mūzikas žanrs;Dažreiz
2.17.2025 8:28:36;14-24;Vīrietis;jā,dažreiz;Produktivitāte ir vidēja;Mierīgu;Ļoti klusi;Tā palīdz koncentrēties;jā;ass un enerģijas pārpilns, kur dziedātājs nevis dzied, bet bļauj...(AcDc kā piemērs);Dažreiz
2.17.2025 8:31:09;14-24;Sieviete;jā,dažreiz;Produktivitāte ir vidēja;Jazz;Vidēji skaļi;Tā palīdz koncentrēties;jā;D&B;Dažreiz
2.17.2025 8:46:04;14-24;Vīrietis;Jā ,vienmēr;Es vienmēr esmu produktīvs;Visu;Vidēji skaļi;Tā palīdz koncentrēties;nē;;Jā, vienmēr
2.17.2025 8:51:40;14-24;Sieviete;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Klasisko mūziku;Skaļi;Neietekmē;nē;;Dažreiz
2.17.2025 9:54:36;14-24;Vīrietis;jā,dažreiz;Es vienmēr esmu produktīvs;Popmūzika;Vidēji skaļi;Neietekmē;jā;Roks;Dažreiz
2.17.2025 13:33:59;14-24;Vīrietis;nē,nekad;Es vienmēr esmu produktīvs;Nekādu;Neklausos;Tā traucē koncentrēšanos;jā;Man jebkāda mūzika traucē koncentrēties.;Dažreiz
2.17.2025 15:05:42;14-24;Sieviete;jā,dažreiz;Citreiz vajag klusumu, citreiz mūziku;Tautasdziesmas/folkmūzika;Skaļi;Dažreiz;jā;Traucē, ja mūzikai pievēršos vairāk nekā darbam, bet ja tā, tad noteikti mūzika, kas man nepatīk;Jā, vienmēr
2.18.2025 11:08:14;14-24;Vīrietis;jā,dažreiz;Man bieži trūkst koncentrēšanās spēju;Klasisko mūziku;Vidēji skaļi;Tā palīdz koncentrēties;jā;rokmūzika;Jā, vienmēr
